"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"filaire"-adjective-fr "filar"-adjective-oc
"contactable"-adjective-oc "contactable"-adjective-fr
"contactable"-adjective-fr "contactable"-adjective-oc
"contrastable"-adjective-oc "contrastable"-adjective-fr
"contrastable"-adjective-fr "contrastable"-adjective-oc
"impresentable"-adjective-oc "imprésentable"-adjective-fr
"imprésentable"-adjective-fr "impresentable"-adjective-oc
"insubmersible"-adjective-oc "insubmersible"-adjective-fr
"insubmersible"-adjective-fr "insubmersible"-adjective-oc
"malléable"-adjective-oc "malleable"-adjective-fr
"malleable"-adjective-fr "malléable"-adjective-oc
"permissible"-adjective-oc "permissible"-adjective-fr
"permissible"-adjective-fr "permissible"-adjective-oc
"sondable"-adjective-oc "sondable"-adjective-fr
"sondable"-adjective-fr "sondable"-adjective-oc
"agitable"-adjective-oc "agitable"-adjective-fr
"agitable"-adjective-fr "agitable"-adjective-oc
"assegurable"-adjective-oc "assegurable"-adjective-fr
"assegurable"-adjective-fr "assegurable"-adjective-oc
"cronometrable"-adjective-oc "chronométrable"-adjective-fr
"chronométrable"-adjective-fr "cronometrable"-adjective-oc
"ingestiu"-adjective-oc "ingestif"-adjective-fr
"ingestif"-adjective-fr "ingestiu"-adjective-oc
"digerible"-adjective-oc "digérable"-adjective-fr
"digérable"-adjective-fr "digerible"-adjective-oc
"immesurable"-adjective-oc "immesurable"-adjective-fr
"immesurable"-adjective-fr "immesurable"-adjective-oc
"inconstatable"-adjective-oc "inconstatable"-adjective-fr
"inconstatable"-adjective-fr "inconstatable"-adjective-oc
"inconsultable"-adjective-oc "inconsultable"-adjective-fr
"inconsultable"-adjective-fr "inconsultable"-adjective-oc
"incriticable"-adjective-oc "incritiquable"-adjective-fr
"incritiquable"-adjective-fr "incriticable"-adjective-oc
"indeductible"-adjective-oc "indéductible"-adjective-fr
"indéductible"-adjective-fr "indeductible"-adjective-oc
"indigerible"-adjective-oc "indigérable"-adjective-fr
"indigérable"-adjective-fr "indigerible"-adjective-oc
"ingerible"-adjective-oc "ingérable"-adjective-fr
"ingérable"-adjective-fr "ingerible"-adjective-oc
"innegociable"-adjective-oc "innégociable"-adjective-fr
"innégociable"-adjective-fr "innegociable"-adjective-oc
"insaciable"-adjective-oc "insaciable"-adjective-fr
"insaciable"-adjective-fr "insaciable"-adjective-oc
"reglable"-adjective-oc "réglable"-adjective-fr
"réglable"-adjective-fr "reglable"-adjective-oc
"saciable"-adjective-oc "saciable"-adjective-fr
"saciable"-adjective-fr "saciable"-adjective-oc
"acidic"-adjective-oc "acidique"-adjective-fr
"acidique"-adjective-fr "acidic"-adjective-oc
"adonic"-adjective-oc "adonique"-adjective-fr
"adonique"-adjective-fr "adonic"-adjective-oc
"antimonic"-adjective-oc "antimonique"-adjective-fr
"antimonique"-adjective-fr "antimonic"-adjective-oc
"betic"-adjective-oc "bétique"-adjective-fr
"bétique"-adjective-fr "betic"-adjective-oc
"bicromatic"-adjective-oc "bichromatique"-adjective-fr
"bichromatique"-adjective-fr "bicromatic"-adjective-oc
"bismutic"-adjective-oc "bismuthique"-adjective-fr
"bismuthique"-adjective-fr "bismutic"-adjective-oc
"bolimic"-adjective-oc "boulimique"-adjective-fr
"boulimique"-adjective-fr "bolimic"-adjective-oc
"cataclismic"-adjective-oc "cataclismique"-adjective-fr
"cataclismique"-adjective-fr "cataclismic"-adjective-oc
"cloric"-adjective-oc "chlorique"-adjective-fr
"chlorique"-adjective-fr "cloric"-adjective-oc
"diacronic"-adjective-oc "diachronique"-adjective-fr
"diachronique"-adjective-fr "diacronic"-adjective-oc
"ectoplasmic"-adjective-oc "ectoplasmique"-adjective-fr
"ectoplasmique"-adjective-fr "ectoplasmic"-adjective-oc
"electrotecnic"-adjective-oc "électrotechnique"-adjective-fr
"électrotechnique"-adjective-fr "electrotecnic"-adjective-oc
"maquiavelic"-adjective-oc "machiavélique"-adjective-fr
"machiavélique"-adjective-fr "maquiavelic"-adjective-oc
"ortocromatic"-adjective-oc "orthochromatique"-adjective-fr
"orthochromatique"-adjective-fr "ortocromatic"-adjective-oc
"parasitic"-adjective-oc "parasitique"-adjective-fr
"parasitique"-adjective-fr "parasitic"-adjective-oc
"platinic"-adjective-oc "platinique"-adjective-fr
"platinique"-adjective-fr "platinic"-adjective-oc
"policromatic"-adjective-oc "polychromatique"-adjective-fr
"polychromatique"-adjective-fr "policromatic"-adjective-oc
"protidic"-adjective-oc "protidique"-adjective-fr
"protidique"-adjective-fr "protidic"-adjective-oc
"quimeric"-adjective-oc "chimérique"-adjective-fr
"chimérique"-adjective-fr "quimeric"-adjective-oc
"raquitic"-adjective-oc "rachitique"-adjective-fr
"rachitique"-adjective-fr "raquitic"-adjective-oc
"sincronic"-adjective-oc "synchronique"-adjective-fr
"synchronique"-adjective-fr "sincronic"-adjective-oc
"tartaric"-adjective-oc "tartarique"-adjective-fr
"tartarique"-adjective-fr "tartaric"-adjective-oc
"volumic"-adjective-oc "volumique"-adjective-fr
"volumique"-adjective-fr "volumic"-adjective-oc
"quadrifonic"-adjective-oc "quadriphonique"-adjective-fr
"quadriphonique"-adjective-fr "quadrifonic"-adjective-oc
"narcissista"-adjective-oc "narcissiste"-adjective-fr
"narcissiste"-adjective-fr "narcissista"-adjective-oc
"acceleratiu"-adjective-oc "accélératif"-adjective-fr
"accélératif"-adjective-fr "acceleratiu"-adjective-oc
"declamatiu"-adjective-oc "déclamatif"-adjective-fr
"déclamatif"-adjective-fr "declamatiu"-adjective-oc
"enonciatiu"-adjective-oc "énonciatif"-adjective-fr
"énonciatif"-adjective-fr "enonciatiu"-adjective-oc
"injontiu"-adjective-oc "injonctif"-adjective-fr
"injonctif"-adjective-fr "injontiu"-adjective-oc
"instintiu"-adjective-oc "instinctif"-adjective-fr
"instinctif"-adjective-fr "instintiu"-adjective-oc
"rebarbatiu"-adjective-oc "rébarbatif"-adjective-fr
"rébarbatif"-adjective-fr "rebarbatiu"-adjective-oc
"terminatiu"-adjective-oc "terminatif"-adjective-fr
"terminatif"-adjective-fr "terminatiu"-adjective-oc
"aglomeratiu"-adjective-oc "agglomératif"-adjective-fr
"agglomératif"-adjective-fr "aglomeratiu"-adjective-oc
"arbitratiu"-adjective-oc "arbitratif"-adjective-fr
"arbitratif"-adjective-fr "arbitratiu"-adjective-oc
"degressiu"-adjective-oc "dégressif"-adjective-fr
"dégressif"-adjective-fr "degressiu"-adjective-oc
"penetratiu"-adjective-oc "pénétratif"-adjective-fr
"pénétratif"-adjective-fr "penetratiu"-adjective-oc
"refractiu"-adjective-oc "réfractif"-adjective-fr
"réfractif"-adjective-fr "refractiu"-adjective-oc
"replicatiu"-adjective-oc "réplicatif"-adjective-fr
"réplicatif"-adjective-fr "replicatiu"-adjective-oc
"lanós"-adjective-oc "laineux"-adjective-fr
"laineux"-adjective-fr "lanós"-adjective-oc
"vinagrós"-adjective-oc "vinaigreux"-adjective-fr
"vinaigreux"-adjective-fr "vinagrós"-adjective-oc
"dimenge"-adverb-oc "dimanche"-adverb-fr
"dimanche"-adverb-fr "dimenge"-adverb-oc
"doç"-adverb-oc "doux"-adverb-fr
"doux"-adverb-fr "doç"-adverb-oc
"mai o mens"-adverb-oc "plus ou moins"-adverb-fr
"plus ou moins"-adverb-fr "mai o mens"-adverb-oc
"fin"-adverb-oc "fin"-adverb-fr
"fin"-adverb-fr "fin"-adverb-oc
"fresc"-adverb-oc "frais"-adverb-fr
"frais"-adverb-fr "fresc"-adverb-oc
"grassament"-adverb-oc "grassement"-adverb-fr
"grassement"-adverb-fr "grassament"-adverb-oc
"grèu"-adverb-oc "grave"-adverb-fr
"grave"-adverb-fr "grèu"-adverb-oc
"malgrat"-adverb-oc "nonobstant"-adverb-fr
"nonobstant"-adverb-fr "malgrat"-adverb-oc
"paurament"-adverb-oc "pauvrement"-adverb-fr
"pauvrement"-adverb-fr "paurament"-adverb-oc
"segon"-adverb-oc "selon"-adverb-fr
"selon"-adverb-fr "segon"-adverb-oc
"a punta d'alba"-adverb-oc "à l'aube"-adverb-fr
"à l'aube"-adverb-fr "a punta d'alba"-adverb-oc
"à l'aube"-adverb-fr "a primalba"-adverb-oc
"a primalba"-adverb-oc "à l'aube"-adverb-fr
"al luscre"-adverb-oc "au crépuscule"-adverb-fr
"au crépuscule"-adverb-fr "al luscre"-adverb-oc
"au crépuscule"-adverb-fr "au calabrun"-adverb-oc
"au crépuscule"-adverb-fr "a l'entrelutz"-adverb-oc
"au calabrun"-adverb-oc "au crépuscule"-adverb-fr
"a l'entrelutz"-adverb-oc "au crépuscule"-adverb-fr
"a boca de nuèch"-adverb-oc "à la tombée de la nuit"-adverb-fr
"à la tombée de la nuit"-adverb-fr "a boca de nuèch"-adverb-oc
"à la tombée de la nuit"-adverb-fr "a boca de nuèit"-adverb-oc
"a boca de nuèit"-adverb-oc "à la tombée de la nuit"-adverb-fr
"a jorn falit"-adverb-oc "à la tombée du jour"-adverb-fr
"à la tombée du jour"-adverb-fr "a jorn falit"-adverb-oc
"a solelh colc"-adverb-oc "au coucher du soleil"-adverb-fr
"au coucher du soleil"-adverb-fr "a solelh colc"-adverb-oc
"ailamondaut"-adverb-oc "là-haut"-adverb-fr
"là-haut"-adverb-fr "ailamondaut"-adverb-oc
"au bord"-adverb-fr "au bòrd"-adverb-oc
"au bord"-adverb-fr "a la broa"-adverb-oc
"au bòrd"-adverb-oc "au bord"-adverb-fr
"a la broa"-adverb-oc "au bord"-adverb-fr
"al ras"-adverb-oc "à proximité"-adverb-fr
"à proximité"-adverb-fr "al ras"-adverb-oc
"a l'unisson"-adverb-oc "à l'unisson"-adverb-fr
"à l'unisson"-adverb-fr "a l'unisson"-adverb-oc
"amb una sola votz"-adverb-oc "d'une même voix"-adverb-fr
"d'une même voix"-adverb-fr "amb una sola votz"-adverb-oc
"çai jonch"-adverb-oc "ci-joint"-adverb-fr
"ci-joint"-adverb-fr "çai jonch"-adverb-oc
"çai contra"-adverb-oc "ci-contre"-adverb-fr
"ci-contre"-adverb-fr "çai contra"-adverb-oc
"endeman"-adverb-oc "lendemain"-adverb-fr
"lendemain"-adverb-fr "endeman"-adverb-oc
"mot per mot"-adverb-oc "mot à mot"-adverb-fr
"mot à mot"-adverb-fr "mot per mot"-adverb-oc
"nas e nas"-adverb-oc "nez à nez"-adverb-fr
"nez à nez"-adverb-fr "nas e nas"-adverb-oc
"subrora"-adverb-oc "à heure indue"-adverb-fr
"à heure indue"-adverb-fr "subrora"-adverb-oc
"a la perfin"-adverb-oc "au bout du compte"-adverb-fr
"au bout du compte"-adverb-fr "a la perfin"-adverb-oc
"de fons en cima"-adverb-oc "de fond en comble"-adverb-fr
"de fond en comble"-adverb-fr "de fons en cima"-adverb-oc
"a l'espèra"-adverb-oc "à l'affût"-adverb-fr
"à l'affût"-adverb-fr "a l'espèra"-adverb-oc
"à l'affût"-adverb-fr "a la demòra"-adverb-oc
"a la demòra"-adverb-oc "à l'affût"-adverb-fr
"a bèla corsa"-adverb-oc "avec empressement"-adverb-fr
"avec empressement"-adverb-fr "a bèla corsa"-adverb-oc
"a bèles dos"-adverb-oc "deux par deux"-adverb-fr
"deux par deux"-adverb-fr "a bèles dos"-adverb-oc
"a bassacadas"-adverb-oc "par secousses"-adverb-fr
"par secousses"-adverb-fr "a bassacadas"-adverb-oc
"a cabrit-cabròt"-adverb-oc "à califourchon"-adverb-fr
"à califourchon"-adverb-fr "a cabrit-cabròt"-adverb-oc
"a carretadas"-adverb-oc "à la pelle"-adverb-fr
"à la pelle"-adverb-fr "a carretadas"-adverb-oc
"a chicas e micas"-adverb-oc "par bribes"-adverb-fr
"par bribes"-adverb-fr "a chicas e micas"-adverb-oc
"a grapas"-adverb-oc "à quatre pattes"-adverb-fr
"à quatre pattes"-adverb-fr "a grapas"-adverb-oc
"à quatre pattes"-adverb-fr "a gratipautas"-adverb-oc
"a gratipautas"-adverb-oc "à quatre pattes"-adverb-fr
"a palpas"-adverb-oc "à tâtons"-adverb-fr
"à tâtons"-adverb-fr "a palpas"-adverb-oc
"a pè ranquet"-adverb-oc "à cloche-pied"-adverb-fr
"à cloche-pied"-adverb-fr "a pè ranquet"-adverb-oc
"a picacotèl"-adverb-oc "à couteaux tirés"-adverb-fr
"à couteaux tirés"-adverb-fr "a picacotèl"-adverb-oc
"a planponh"-adverb-oc "à pleine main"-adverb-fr
"à pleine main"-adverb-fr "a planponh"-adverb-oc
"a plen de cap"-adverb-oc "à tue-tête"-adverb-fr
"à tue-tête"-adverb-fr "a plen de cap"-adverb-oc
"a ronfle"-adverb-oc "à foison"-adverb-fr
"à foison"-adverb-fr "a ronfle"-adverb-oc
"braç e braç"-adverb-oc "bras dessus bras dessous"-adverb-fr
"bras dessus bras dessous"-adverb-fr "braç e braç"-adverb-oc
"cap e cap"-adverb-oc "tête à tête"-adverb-fr
"tête à tête"-adverb-fr "cap e cap"-adverb-oc
"tête à tête"-adverb-fr "cap e tufa"-adverb-oc
"cap e tufa"-adverb-oc "tête à tête"-adverb-fr
"d'abausons"-adverb-oc "à plat ventre"-adverb-fr
"à plat ventre"-adverb-fr "d'abausons"-adverb-oc
"d'abocadents"-adverb-oc "la face contre terre"-adverb-fr
"la face contre terre"-adverb-fr "d'abocadents"-adverb-oc
"de coa d'uèlh"-adverb-oc "du coin de l'œil"-adverb-fr
"du coin de l'œil"-adverb-fr "de coa d'uèlh"-adverb-oc
"du coin de l'œil"-adverb-fr "de rèiruèlh"-adverb-oc
"de rèiruèlh"-adverb-oc "du coin de l'œil"-adverb-fr
"de cuol"-adverb-oc "sur le cul"-adverb-fr
"sur le cul"-adverb-fr "de cuol"-adverb-oc
"sur le cul"-adverb-fr "de cuòu"-adverb-oc
"sur le cul"-adverb-fr "de culs"-adverb-oc
"de cuòu"-adverb-oc "sur le cul"-adverb-fr
"de culs"-adverb-oc "sur le cul"-adverb-fr
"de fil en veta"-adverb-oc "de fil en aiguille"-adverb-fr
"de fil en aiguille"-adverb-fr "de fil en veta"-adverb-oc
"de reverseta"-adverb-oc "à la renverse"-adverb-fr
"à la renverse"-adverb-fr "de reverseta"-adverb-oc
"de mon sicap"-adverb-oc "à ma façon"-adverb-fr
"à ma façon"-adverb-fr "de mon sicap"-adverb-oc
"de son sicap"-adverb-oc "de son propre chef"-adverb-fr
"de son propre chef"-adverb-fr "de son sicap"-adverb-oc
"en un cluc d'uèlh"-adverb-oc "en un clin d'œil"-adverb-fr
"en un clin d'œil"-adverb-fr "en un cluc d'uèlh"-adverb-oc
"en un virat de man"-adverb-oc "en un tour de main"-adverb-fr
"en un tour de main"-adverb-fr "en un virat de man"-adverb-oc
"per compàs"-adverb-oc "en mesure"-adverb-fr
"en mesure"-adverb-fr "per compàs"-adverb-oc
"per mesura"-adverb-oc "avec mesure"-adverb-fr
"avec mesure"-adverb-fr "per mesura"-adverb-oc
"per òrta"-adverb-oc "à travers champs"-adverb-fr
"à travers champs"-adverb-fr "per òrta"-adverb-oc
"per tot jamai"-adverb-oc "à tout jamais"-adverb-fr
"à tout jamais"-adverb-fr "per tot jamai"-adverb-oc
"pòts a pòts"-adverb-oc "lèvres à lèvres"-adverb-fr
"lèvres à lèvres"-adverb-fr "pòts a pòts"-adverb-oc
"sens cap ni centena"-adverb-oc "sans queue ni tête"-adverb-fr
"sans queue ni tête"-adverb-fr "sens cap ni centena"-adverb-oc
"sens relambi"-adverb-oc "sans répit"-adverb-fr
"sens relambi"-adverb-oc "sans relâche"-adverb-fr
"sans répit"-adverb-fr "sens relambi"-adverb-oc
"sans relâche"-adverb-fr "sens relambi"-adverb-oc
"d'ausida"-adverb-oc "tout d'un coup"-adverb-fr
"tout d'un coup"-adverb-fr "d'ausida"-adverb-oc
"d'aqueste pas"-adverb-oc "de ce pas"-adverb-fr
"de ce pas"-adverb-fr "d'aqueste pas"-adverb-oc
"a bèlas cambadas"-adverb-oc "à grands pas"-adverb-fr
"à grands pas"-adverb-fr "a bèlas cambadas"-adverb-oc
"tot escàs"-adverb-oc "il y a un instant"-adverb-fr
"il y a un instant"-adverb-fr "tot escàs"-adverb-oc
"abjèctament"-adverb-oc "abjectement"-adverb-fr
"abjectement"-adverb-fr "abjèctament"-adverb-oc
"anodinament"-adverb-oc "anodinement"-adverb-fr
"anodinement"-adverb-fr "anodinament"-adverb-oc
"astrologicament"-adverb-oc "astrologiquement"-adverb-fr
"astrologiquement"-adverb-fr "astrologicament"-adverb-oc
"immensament"-adverb-oc "immensément"-adverb-fr
"immensément"-adverb-fr "immensament"-adverb-oc
"innocentament"-adverb-oc "innocemment"-adverb-fr
"innocemment"-adverb-fr "innocentament"-adverb-oc
"malaisidament"-adverb-oc "avec difficulté"-adverb-fr
"avec difficulté"-adverb-fr "malaisidament"-adverb-oc
"maquiavelicament"-adverb-oc "machiavéliquement"-adverb-fr
"machiavéliquement"-adverb-fr "maquiavelicament"-adverb-oc
"reialament"-adverb-oc "royalement"-adverb-fr
"royalement"-adverb-fr "reialament"-adverb-oc
"indiferenciar"-verb-oc "indifférencier"-verb-fr
"indifférencier"-verb-fr "indiferenciar"-verb-oc
"espelir"-verb-oc "éclore"-verb-fr
"éclore"-verb-fr "espelir"-verb-oc
"estigmatizar"-verb-oc "stigmatiser"-verb-fr
"stigmatiser"-verb-fr "estigmatizar"-verb-oc
"laminar"-verb-oc "laminer"-verb-fr
"laminer"-verb-fr "laminar"-verb-oc
"vegetalizar"-verb-oc "végétaliser"-verb-fr
"végétaliser"-verb-fr "vegetalizar"-verb-oc
"estancar"-verb-oc "étancher"-verb-fr
"étancher"-verb-fr "estancar"-verb-oc
"acalhaudar"-verb-oc "caillasser"-verb-fr
"caillasser"-verb-fr "acalhaudar"-verb-oc
"afebrir"-verb-oc "enfiévrer"-verb-fr
"enfiévrer"-verb-fr "afebrir"-verb-oc
"desaprendre"-verb-oc "désapprendre"-verb-fr
"désapprendre"-verb-fr "desaprendre"-verb-oc
"desavantatjar"-verb-oc "désavantager"-verb-fr
"désavantager"-verb-fr "desavantatjar"-verb-oc
"bramar"-verb-oc "bramer"-verb-fr
"bramer"-verb-fr "bramar"-verb-oc
"contusionar"-verb-oc "contusionner"-verb-fr
"contusionner"-verb-fr "contusionar"-verb-oc
"convalidar"-verb-oc "convalider"-verb-fr
"convalider"-verb-fr "convalidar"-verb-oc
"desalterar"-verb-oc "désaltérer"-verb-fr
"désaltérer"-verb-fr "desalterar"-verb-oc
"deserbar"-verb-oc "désherber"-verb-fr
"désherber"-verb-fr "deserbar"-verb-oc
"desgasar"-verb-oc "dégazer"-verb-fr
"dégazer"-verb-fr "desgasar"-verb-oc
"desistir"-verb-oc "désister"-verb-fr
"désister"-verb-fr "desistir"-verb-oc
"desmoblar"-verb-oc "démeubler"-verb-fr
"démeubler"-verb-fr "desmoblar"-verb-oc
"desnivelar"-verb-oc "déniveler"-verb-fr
"déniveler"-verb-fr "desnivelar"-verb-oc
"desonglar"-verb-oc "désongler"-verb-fr
"désongler"-verb-fr "desonglar"-verb-oc
"desoxidar"-verb-oc "désoxyder"-verb-fr
"désoxyder"-verb-fr "desoxidar"-verb-oc
"desoxigenar"-verb-oc "désoxygéner"-verb-fr
"désoxygéner"-verb-fr "desoxigenar"-verb-oc
"divagar"-verb-oc "divaguer"-verb-fr
"divaguer"-verb-fr "divagar"-verb-oc
"electrocutar"-verb-oc "électrocuter"-verb-fr
"électrocuter"-verb-fr "electrocutar"-verb-oc
"elucubrar"-verb-oc "élucubrer"-verb-fr
"élucubrer"-verb-fr "elucubrar"-verb-oc
"endurcir"-verb-oc "endurcir"-verb-fr
"endurcir"-verb-fr "endurcir"-verb-oc
"envinagrar"-verb-oc "vinaigrer"-verb-fr
"vinaigrer"-verb-fr "envinagrar"-verb-oc
"epilar"-verb-oc "épiler"-verb-fr
"épiler"-verb-fr "epilar"-verb-oc
"eructar"-verb-oc "éructer"-verb-fr
"éructer"-verb-fr "eructar"-verb-oc
"espesolhar"-verb-oc "épouiller"-verb-fr
"épouiller"-verb-fr "espesolhar"-verb-oc
"inseminar"-verb-oc "inséminer"-verb-fr
"inséminer"-verb-fr "inseminar"-verb-oc
"laurar"-verb-oc "labourer"-verb-fr
"labourer"-verb-fr "laurar"-verb-oc
"labourer"-verb-fr "laborar"-verb-oc
"laborar"-verb-oc "labourer"-verb-fr
"machugar"-verb-oc "mâchouiller"-verb-fr
"mâchouiller"-verb-fr "machugar"-verb-oc
"manjucar"-verb-oc "mangeotter"-verb-fr
"mangeotter"-verb-fr "manjucar"-verb-oc
"marbrar"-verb-oc "marbrer"-verb-fr
"marbrer"-verb-fr "marbrar"-verb-oc
"pedalar"-verb-oc "pédaler"-verb-fr
"pédaler"-verb-fr "pedalar"-verb-oc
"plafonar"-verb-oc "plafonner"-verb-fr
"plafonner"-verb-fr "plafonar"-verb-oc
"recepcionar"-verb-oc "réceptionner"-verb-fr
"réceptionner"-verb-fr "recepcionar"-verb-oc
"recomptar"-verb-oc "recompter"-verb-fr
"recompter"-verb-fr "recomptar"-verb-oc
"reconcentrar"-verb-oc "reconcentrer"-verb-fr
"reconcentrer"-verb-fr "reconcentrar"-verb-oc
"relaxar"-verb-oc "relaxer"-verb-fr
"relaxer"-verb-fr "relaxar"-verb-oc
"relegir"-verb-oc "relire"-verb-fr
"relire"-verb-fr "relegir"-verb-oc
"relogar"-verb-oc "relouer"-verb-fr
"relouer"-verb-fr "relogar"-verb-oc
"rumar"-verb-oc "roussir"-verb-fr
"roussir"-verb-fr "rumar"-verb-oc
"rusquejar"-verb-oc "écorcer"-verb-fr
"écorcer"-verb-fr "rusquejar"-verb-oc
"sofrar"-verb-oc "soufrer"-verb-fr
"soufrer"-verb-fr "sofrar"-verb-oc
"ventilar"-verb-oc "ventiler"-verb-fr
"ventiler"-verb-fr "ventilar"-verb-oc
"ejacular"-verb-oc "éjaculer"-verb-fr
"éjaculer"-verb-fr "ejacular"-verb-oc
"complimentar"-verb-oc "conplimenter"-verb-fr
"conplimenter"-verb-fr "complimentar"-verb-oc
"vitaminar"-verb-oc "vitaminer"-verb-fr
"vitaminer"-verb-fr "vitaminar"-verb-oc
"dissimilar"-verb-oc "dissimiler"-verb-fr
"dissimiler"-verb-fr "dissimilar"-verb-oc
"santificar"-verb-oc "sanctifier"-verb-fr
"sanctifier"-verb-fr "santificar"-verb-oc
"vinificar"-verb-oc "vinifier"-verb-fr
"vinifier"-verb-fr "vinificar"-verb-oc
"claudicar"-verb-oc "claudiquer"-verb-fr
"claudiquer"-verb-fr "claudicar"-verb-oc
"corporificar"-verb-oc "corporifier"-verb-fr
"corporifier"-verb-fr "corporificar"-verb-oc
"desintoxicar"-verb-oc "désintoxiquer"-verb-fr
"désintoxiquer"-verb-fr "desintoxicar"-verb-oc
"desvitrificar"-verb-oc "dévitrifier"-verb-fr
"dévitrifier"-verb-fr "desvitrificar"-verb-oc
"mitificar"-verb-oc "mythifier"-verb-fr
"mythifier"-verb-fr "mitificar"-verb-oc
"excisar"-verb-oc "exciser"-verb-fr
"exciser"-verb-fr "excisar"-verb-oc
"fragilizar"-verb-oc "fragiliser"-verb-fr
"fragiliser"-verb-fr "fragilizar"-verb-oc
"nuclearizar"-verb-oc "nucléariser"-verb-fr
"nucléariser"-verb-fr "nuclearizar"-verb-oc
"pluralizar"-verb-oc "pluraler"-verb-fr
"pluraler"-verb-fr "pluralizar"-verb-oc
"vulnerabilizar"-verb-oc "vulnérabiliser"-verb-fr
"vulnérabiliser"-verb-fr "vulnerabilizar"-verb-oc
"credibilizar"-verb-oc "crédibiliser"-verb-fr
"crédibiliser"-verb-fr "credibilizar"-verb-oc
"desvitalizar"-verb-oc "dévitaliser"-verb-fr
"dévitaliser"-verb-fr "desvitalizar"-verb-oc
"solemnizar"-verb-oc "solemniser"-verb-fr
"solemniser"-verb-fr "solemnizar"-verb-oc
"solubilizar"-verb-oc "solubiliser"-verb-fr
"solubiliser"-verb-fr "solubilizar"-verb-oc
"tantalizar"-verb-oc "tantaliser"-verb-fr
"tantaliser"-verb-fr "tantalizar"-verb-oc
"temporalizar"-verb-oc "temporaliser"-verb-fr
"temporaliser"-verb-fr "temporalizar"-verb-oc
"tetanizar"-verb-oc "tétaniser"-verb-fr
"tétaniser"-verb-fr "tetanizar"-verb-oc
"tiranizar"-verb-oc "tyranniser"-verb-fr
"tyranniser"-verb-fr "tiranizar"-verb-oc
"trivializar"-verb-oc "trivialiser"-verb-fr
"trivialiser"-verb-fr "trivializar"-verb-oc
"velarizar"-verb-oc "vélariser"-verb-fr
"vélariser"-verb-fr "velarizar"-verb-oc
"dessalinizar"-verb-oc "désaliniser"-verb-fr
"désaliniser"-verb-fr "dessalinizar"-verb-oc
"nominalizar"-verb-oc "nominaliser"-verb-fr
"nominaliser"-verb-fr "nominalizar"-verb-oc
"normativizar"-verb-oc "normativiser"-verb-fr
"normativiser"-verb-fr "normativizar"-verb-oc
"occitanizar"-verb-oc "occitaniser"-verb-fr
"occitaniser"-verb-fr "occitanizar"-verb-oc
"paganizar"-verb-oc "paganiser"-verb-fr
"paganiser"-verb-fr "paganizar"-verb-oc
"periodizar"-verb-oc "périodiser"-verb-fr
"périodiser"-verb-fr "periodizar"-verb-oc
"potabilizar"-verb-oc "potabiliser"-verb-fr
"potabiliser"-verb-fr "potabilizar"-verb-oc
"proletarizar"-verb-oc "prolétariser"-verb-fr
"prolétariser"-verb-fr "proletarizar"-verb-oc
"pronominalizar"-verb-oc "pronominaliser"-verb-fr
"pronominaliser"-verb-fr "pronominalizar"-verb-oc
"poder"-verb-oc "pouvoir"-verb-fr
"pouvoir"-verb-fr "poder"-verb-oc
"hl"-noun-oc "hl"-noun-fr
"hl"-noun-fr "hl"-noun-oc
"min"-noun-oc "min"-noun-fr
"min"-noun-fr "min"-noun-oc
"PÒC"-noun-oc "POC"-noun-fr
"POC"-noun-fr "PÒC"-noun-oc
"POC"-noun-fr "POC"-noun-oc
"POC"-noun-oc "POC"-noun-fr
"ÒPLO"-noun-oc "OPLO"-noun-fr
"OPLO"-noun-fr "ÒPLO"-noun-oc
"CAÒC"-noun-oc "CAÒC"-noun-fr
"CAÒC"-noun-fr "CAÒC"-noun-oc
"CUP"-noun-oc "CUP"-noun-fr
"CUP"-noun-fr "CUP"-noun-oc
"restrictivitat"-noun-oc "restrictivité"-noun-fr
"restrictivité"-noun-fr "restrictivitat"-noun-oc
"sol"-noun-oc "seul"-noun-fr
"seul"-noun-fr "sol"-noun-oc
"visigotic"-adjective-oc "wisigothique"-adjective-fr
"wisigothique"-adjective-fr "visigotic"-adjective-oc
"bèlga"-noun-oc "belge"-noun-fr
"belge"-noun-fr "bèlga"-noun-oc
"asistematicament"-adverb-oc "asystématiquement"-adverb-fr
"asystématiquement"-adverb-fr "asistematicament"-adverb-oc
"oliva"-adjective-oc "olive"-adjective-fr
"olive"-adjective-fr "oliva"-adjective-oc
"coprince"-noun-oc "co-prince"-noun-fr
"co-prince"-noun-fr "coprince"-noun-oc
"co-prince"-noun-fr "coprincessa"-noun-oc
"coprincessa"-noun-oc "co-prince"-noun-fr
"diva"-noun-oc "dive"-noun-fr
"dive"-noun-fr "diva"-noun-oc
"nul"-noun-oc "nul"-noun-fr
"nul"-noun-fr "nul"-noun-oc
"expausat"-adjective-oc "exposé"-adjective-fr
"exposé"-adjective-fr "expausat"-adjective-oc
"adoptat"-adjective-oc "adopté"-adjective-fr
"adopté"-adjective-fr "adoptat"-adjective-oc
"acordat"-adjective-oc "accordé"-adjective-fr
"accordé"-adjective-fr "acordat"-adjective-oc
"gos"-adjective-oc "chien"-adjective-fr
"chien"-adjective-fr "gos"-adjective-oc
"ambaissador"-adjective-oc "ambassadeur"-adjective-fr
"ambassadeur"-adjective-fr "ambaissador"-adjective-oc
